"","block.number","subject.number","condition","W1","W2","W3","W4","W5","W6","W7.这个.那个.","W8.Nd.","ProbTime","ProbResponse","CorrAns","w2_o","w3_o","w4_o","w5_o"
"1","1",3,"OO2",2.58408583100026,0.629195486999378,0.473034053999072,0.681167295000705,0.391276628000923,3.75314061400058,0.418959230999462,0.37893666599848,2.05821464399923,"right","Y",FALSE,FALSE,FALSE,FALSE
"2","1",3,"OO2",0.388930015000369,0.257111892000466,0.098502587999974,0.146460516998558,0.082665738000287,0.223213621999093,0.166923684999346,0.096389720998559,2.36339215299994,"right","N",FALSE,FALSE,FALSE,FALSE
"3","1",3,"OO2",0.605589659999168,0.316893432998767,0.888349520999327,1.93927701999928,0.368177862001175,0.622911481999835,0.260781056000269,0.31201365599918,2.77282350600035,"left","N",FALSE,FALSE,FALSE,FALSE
"4","1",3,"OO2",0.452322839999396,0.100884944000426,0.256917516000612,0.599322149000727,0.385132780000276,0.205071304999364,0.258740991999729,0.177146395000818,3.9313321619993,"right","Y",FALSE,FALSE,FALSE,FALSE
"5","1",3,"OO2",0.401050522999867,0.267796751000787,0.263200155000959,0.350460133000524,0.348045816001103,3.00586558599934,0.260652303999449,0.264854426000965,1.52359586599959,"right","Y",FALSE,FALSE,FALSE,FALSE
"6","1",3,"OO2",0.237701844000184,0.167759629999636,0.083474814999136,0.012173658000393,0.2704922110006,0.151004256000305,0.044486749000498,0.008116893999613,3.63350284300031,"right","N",FALSE,FALSE,TRUE,FALSE
"7","1",3,"OO2",0.28247362500042,0.413457676000689,0.339631676000863,0.414451250000638,0.320877148000363,0.265666561999751,0.22760926400042,0.46210937700016,3.58860063300016,"right","Y",FALSE,FALSE,FALSE,FALSE
"8","1",3,"OO2",0.047092888000407,0.300186663000204,0.012995469000089,0.108465231000081,0.526835431999643,0.420652339000298,0.139403320001292,0.054265587001282,3.78663067600064,"left","N",FALSE,TRUE,FALSE,FALSE
"9","1",3,"OO2",0.273660962999201,0.647660025999357,0.371882055000241,0.650789757999518,0.169205408999914,0.182842567999614,0.353874411001015,0.225029356999584,2.03105995199985,"right","Y",FALSE,FALSE,FALSE,FALSE
"10","1",3,"OO2",0.336091170000145,0.286419179999938,0.011135748000015,0.322993760999452,0.114741325000068,0.306104973999026,0.209816761000183,0.135790779000672,5.8577961969986,"right","N",FALSE,TRUE,FALSE,FALSE
"11","2",3,"OO2",1.07418012800008,0.441173964998597,0.286984791000577,0.446561672000825,0.368488595999224,1.74139498899967,0.34132661699914,0.362527709999994,3.25979422,"left","N",FALSE,FALSE,FALSE,FALSE
"12","2",3,"OO2",0.537643599000148,0.394076697000855,0.355481605000022,0.379170082998825,0.317803642001308,0.545724330999291,0.324960013000236,0.496525197000664,4.94027928,"right","N",FALSE,FALSE,FALSE,FALSE
"13","2",3,"OO2",0.683661954000854,0.634978112000681,0.246320166999794,0.328647137999723,0.286437483000554,0.295965317000082,0.405480539000564,0.376604106999366,3.13462672,"left","Y",FALSE,FALSE,FALSE,FALSE
"14","2",3,"OO2",0.30053818899978,0.391761165999923,0.176733213000261,0.119192570999075,0.138937518000602,0.115198372999657,0.201680288999341,0.215698055000757,1.50439547,"left","Y",FALSE,FALSE,FALSE,FALSE
"15","2",3,"OO2",0.558385287999044,0.295501578999392,0.13529372800076,0.218018408000716,0.113587314999676,0.236367871000766,0.363473001001693,0.235080721000485,3.04193358,"right","Y",FALSE,FALSE,FALSE,FALSE
"16","2",3,"OO2",0.600065201999314,0.349907652998808,0.130864066999492,0.376191520999782,0.258025342000109,1.33572201700008,0.213161990999651,0.2258865040003,2.1428271,"left","N",FALSE,FALSE,FALSE,FALSE
"17","2",3,"OO2",0.564942373999656,0.253008457999385,0.071580136998818,0.155786766999881,0.091761755998959,0.151182460998825,0.052690002999952,0.107060088999787,1.92064842,"left","N",FALSE,FALSE,FALSE,FALSE
"18","2",3,"OO2",0.505249089001154,0.224500358001023,0.158257216000492,0.607671970999945,0.329933547000109,0.161828333000812,0.177320509999844,0.18010360199878,3.8536531,"right","N",FALSE,FALSE,FALSE,FALSE
